severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
1.0,240,spindle,ramp,600,50,True,10.0,False,,spindle,True,0
1.0,240,spindle,ramp,600,51,False,,False,,,,0
1.5,240,spindle,ramp,600,42,True,13.0,True,19.0,spindle,True,0
1.5,240,spindle,ramp,600,43,True,21.0,False,,spindle,True,0
1.5,240,spindle,ramp,600,44,True,24.0,False,,spindle,True,0
1.5,240,spindle,ramp,600,45,True,21.0,False,,spindle,True,0
1.5,240,spindle,ramp,600,46,True,21.0,True,27.0,spindle,True,0
1.5,240,spindle,ramp,600,47,True,21.0,True,27.0,spindle,True,0
1.5,240,spindle,ramp,600,48,False,,False,,,,0
1.5,240,spindle,ramp,600,49,True,22.0,True,28.0,spindle,True,0
1.5,240,spindle,ramp,600,50,True,10.0,True,16.0,spindle,True,0
1.5,240,spindle,ramp,600,51,False,,False,,,,0
2.0,240,spindle,ramp,600,42,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,600,43,True,17.0,False,,spindle,True,0
2.0,240,spindle,ramp,600,44,True,18.0,True,24.0,spindle,True,0
2.0,240,spindle,ramp,600,45,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,600,46,True,11.0,True,17.0,spindle,True,0
2.0,240,spindle,ramp,600,47,True,21.0,True,27.0,spindle,True,0
2.0,240,spindle,ramp,600,48,True,15.0,True,21.0,spindle,True,0
2.0,240,spindle,ramp,600,49,True,17.0,True,23.0,spindle,True,0
2.0,240,spindle,ramp,600,50,True,10.0,True,16.0,spindle,True,0
2.0,240,spindle,ramp,600,51,True,17.0,True,23.0,spindle,True,0
3.0,240,spindle,ramp,600,42,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,600,43,True,14.0,True,20.0,spindle,True,0
3.0,240,spindle,ramp,600,44,True,14.0,True,20.0,spindle,True,0
3.0,240,spindle,ramp,600,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,600,46,True,9.0,True,15.0,spindle,True,0
